Date,Close,Volume
2020-07-09,292.3999938964844,144573
2020-07-10,293.0,101098
2020-07-13,322.8999938964844,262972
2020-07-14,331.8999938964844,306385
2020-07-16,332.6000061035156,85499
2020-07-17,347.8999938964844,308220
2020-07-20,355.29998779296875,134309
2020-07-21,345.20001220703125,102209
2020-07-22,341.3999938964844,60662
2020-07-23,376.2000122070313,173712
2020-07-24,413.7999877929688,30199
2020-07-27,455.1000061035156,2549
2020-07-28,500.6000061035156,206372
2020-07-29,524.5,422975
2020-07-30,471.0,120773
2020-08-04,433.0,335147
2020-08-05,428.8999938964844,139568
2020-08-06,388.7999877929688,91160
2020-08-07,420.0,249899
2020-08-10,423.3999938964844,335519
2020-08-11,408.7999877929688,183183
2020-08-12,410.7000122070313,152367
2020-08-13,397.7999877929688,63095
2020-08-14,408.8999938964844,170645
2020-08-17,408.2999877929688,159468
2020-08-18,405.5,88238
2020-08-19,399.2999877929688,74275
2020-08-20,393.8999938964844,35253
2020-08-21,384.8999938964844,35150
2020-08-24,395.7000122070313,111908
2020-08-25,393.8999938964844,70011
2020-08-26,394.2000122070313,35284
2020-08-27,399.2000122070313,69313
2020-08-28,395.1000061035156,44763
2020-08-31,379.1000061035156,31313
2020-09-01,379.6000061035156,39156
2020-09-02,383.2000122070313,63567
2020-09-03,371.0,31079
2020-09-04,373.7000122070313,34054
2020-09-07,392.2999877929688,57597
2020-09-08,401.2000122070313,65040
2020-09-09,442.0,69822
2020-09-10,486.2000122070313,182880
2020-09-11,455.8999938964844,269396
2020-09-14,482.0,173929
2020-09-15,529.5999755859375,250258
2020-09-16,582.5,177163
2020-09-17,567.9000244140625,354140
2020-09-18,568.5999755859375,194462
2020-09-21,546.0,137631
2020-09-22,549.7999877929688,190940
2020-09-23,543.7999877929688,137678
2020-09-24,537.2000122070312,65426
2020-09-25,554.0,188910
2020-09-28,555.4000244140625,126608
2020-09-29,567.7999877929688,203419
2020-09-30,573.2000122070312,131542
2020-10-01,551.5,50788
2020-10-02,547.7000122070312,38982
2020-10-05,552.4000244140625,56619
2020-10-06,543.5,41718
2020-10-07,533.5,26989
2020-10-08,520.0999755859375,27675
2020-10-09,513.2999877929688,54664
2020-10-12,533.5,76050
2020-10-13,525.0,52536
2020-10-14,518.7999877929688,40138
2020-10-15,520.0,38199
2020-10-16,517.9000244140625,26621
2020-10-19,568.7000122070312,26909
2020-10-20,625.5,11072
2020-10-21,688.0,422633
2020-10-22,756.7999877929688,322411
2020-10-23,832.4000244140625,276367
2020-10-26,749.2000122070312,415057
2020-10-27,730.0,608158
2020-10-28,667.0,122231
2020-10-30,677.0,44814
2020-11-02,744.7000122070312,45450
2020-11-03,768.2000122070312,53259
2020-11-04,746.2999877929688,30727
2020-11-05,705.0,7960
2020-11-06,705.0,6238
2020-11-09,733.4000244140625,5001
2020-11-10,770.0,5986
2020-11-11,792.0,9398
2020-11-12,750.0,6911
2020-11-13,799.7999877929688,8583
2020-11-16,809.0,9096
2020-11-17,789.9000244140625,9547
2020-11-18,809.0999755859375,11677
2020-11-19,890.0,15117
2020-11-20,980.4000244140624,32348
2020-11-23,1078.4000244140625,279978
2020-11-24,1186.199951171875,161535
2020-11-25,1157.0999755859375,195073
2020-11-26,1127.800048828125,110062
2020-11-27,1072.199951171875,81278
2020-11-30,968.0999755859376,86978
2020-12-01,1066.0,76466
2020-12-02,1152.5,162311
2020-12-03,1136.0,124838
2020-12-04,1136.9000244140625,109643
2020-12-07,1086.0,15309
2020-12-08,1080.699951171875,11900
2020-12-09,1086.0999755859375,17831
2020-12-10,1075.300048828125,8855
2020-12-11,1075.0,7851
2020-12-14,1042.0999755859375,14540
2020-12-15,1110.9000244140625,25717
2020-12-16,1086.9000244140625,15731
2020-12-17,1097.699951171875,9622
2020-12-18,1160.0,21660
2020-12-21,1224.5,31291
2020-12-22,1157.0,75609
2020-12-23,1116.5999755859375,69014
2020-12-24,1087.0,34258
2020-12-25,1123.9000244140625,46989
2020-12-28,1180.4000244140625,154458
2020-12-29,1137.699951171875,81041
2020-12-30,1116.300048828125,28421
2020-12-31,1124.5,30529
2021-01-04,1120.199951171875,43460
2021-01-05,1107.5999755859375,37240
2021-01-06,1091.5,27187
2021-01-07,1091.0,22754
2021-01-08,1204.0,94738
2021-01-11,1324.4000244140625,117630
2021-01-12,1211.9000244140625,211899
2021-01-13,1285.800048828125,175655
2021-01-14,1421.800048828125,118748
2021-01-15,1485.0,233144
2021-01-18,1470.699951171875,187879
2021-01-19,1477.9000244140625,114964
2021-01-20,1520.0,206278
2021-01-21,1488.800048828125,83853
2021-01-22,1545.0,91255
2021-01-25,1704.5999755859375,211476
2021-01-26,1730.0,178469
2021-01-27,1557.0,135232
2021-01-28,1598.9000244140625,178358
2021-01-29,1648.300048828125,151319
2021-02-01,1610.0,79092
2021-02-02,1549.0,72969
2021-02-03,1563.0,110469
2021-02-04,1596.0,94278
2021-02-05,1551.5999755859375,58074
2021-02-08,1516.0,46296
2021-02-09,1517.0,46784
2021-02-10,1515.800048828125,27809
2021-02-11,1541.0999755859375,79900
2021-02-12,1523.0999755859375,34841
2021-02-15,1506.4000244140625,34403
2021-02-16,1486.0,61018
2021-02-17,1452.0,25626
2021-02-18,1426.0,44760
2021-02-19,1385.0,81398
2021-02-22,1314.4000244140625,66306
2021-02-23,1260.0,57114
2021-02-24,1256.0,68058
2021-02-25,1204.0,46380
2021-02-26,1164.0,54690
2021-03-01,1280.4000244140625,36886
2021-03-02,1214.0,152342
2021-03-03,1193.0,48678
2021-03-04,1226.5999755859375,65673
2021-03-05,1212.0,22402
2021-03-08,1187.0,27380
2021-03-09,1166.699951171875,28816
2021-03-10,1247.0,128069
2021-03-11,1192.199951171875,36896
2021-03-12,1203.0,47829
2021-03-15,1231.0,48250
2021-03-16,1229.5999755859375,58122
2021-03-17,1206.0,32215
2021-03-18,1200.0,47314
2021-03-19,1181.0,24931
2021-03-22,1062.9000244140625,18866
2021-03-23,1065.0999755859375,74761
2021-03-24,1171.5999755859375,60295
2021-03-25,1077.5999755859375,134532
2021-03-26,1085.0,56728
2021-03-29,1103.4000244140625,44702
2021-03-30,1108.0,66218
2021-03-31,1090.0,29391
2021-04-01,1108.0,35107
2021-04-02,1157.0,101124
2021-04-05,1133.5,22642
2021-04-06,1109.0999755859375,32147
2021-04-07,1097.0,20125
2021-04-08,1080.5,19589
2021-04-09,1050.699951171875,23162
2021-04-12,992.7000122070312,21274
2021-04-13,970.2000122070312,27121
2021-04-14,1014.0,25561
2021-04-15,976.0,20506
2021-04-16,972.0999755859376,14613
2021-04-19,889.0,22895
2021-04-20,838.2999877929688,36843
2021-04-21,852.7000122070312,43168
2021-04-22,845.5,33119
2021-04-26,917.7999877929688,30744
2021-04-27,885.7000122070312,34118
2021-04-28,869.0999755859375,13675
2021-04-29,943.0,50352
2021-04-30,894.0,41642
2021-05-03,955.0,63591
2021-05-04,934.0,44703
2021-05-05,933.0,29055
2021-05-06,913.0,20103
2021-05-07,916.0999755859376,24331
2021-05-10,927.7999877929688,29161
2021-05-11,913.0999755859376,16169
2021-05-12,914.7000122070312,10111
2021-05-17,938.5999755859376,31405
2021-05-18,965.0999755859376,113418
2021-05-20,926.5,39648
2021-05-21,908.4000244140624,34407
2021-05-24,907.7999877929688,36807
2021-05-25,850.0999755859375,28996
2021-05-26,860.0,20482
2021-05-27,901.5,16422
2021-05-28,885.7999877929688,23759
2021-05-31,887.4000244140625,32631
2021-06-01,874.0999755859375,14803
2021-06-02,852.0,22872
2021-06-03,842.0999755859375,18460
2021-06-04,833.2999877929688,16567
2021-06-07,831.5,13166
2021-06-08,824.0999755859375,13473
2021-06-09,824.5999755859375,15841
2021-06-10,825.5999755859375,50963
2021-06-11,825.0,13758
2021-06-14,802.4000244140625,10228
2021-06-15,783.5999755859375,23303
2021-06-16,756.0,13371
2021-06-17,749.4000244140625,16858
2021-06-18,789.7999877929688,81280
2021-06-21,765.0,22847
2021-06-22,774.4000244140625,23988
2021-06-23,835.0,63906
2021-06-24,806.2999877929688,48196
2021-06-25,832.2999877929688,86865
2021-06-28,792.0999755859375,35425
2021-06-29,801.9000244140625,32487
2021-06-30,806.2000122070312,39606
2021-07-01,811.7999877929688,20583
2021-07-02,847.0,80619
2021-07-05,919.0,244205
2021-07-06,900.0,159343
2021-07-07,957.0,144544
2021-07-08,925.5,83191
2021-07-09,968.0,148505
2021-07-12,998.5999755859376,210263
2021-07-13,1011.0,163746
2021-07-14,1005.0,57807
2021-07-16,980.0,35714
2021-07-19,962.7000122070312,18412
2021-07-26,890.9000244140625,45759
2021-07-27,902.2000122070312,49108
2021-07-28,895.0,26781
2021-07-29,905.5,25467
2021-07-30,891.7000122070312,18422
2021-08-02,877.7000122070312,16087
2021-08-03,877.4000244140625,19974
2021-08-04,883.7999877929688,31482
2021-08-05,899.0999755859375,38588
2021-08-06,897.0,39436
2021-08-09,900.0,30354
2021-08-10,877.0,22953
2021-08-11,844.0999755859375,16746
2021-08-12,850.4000244140625,13172
2021-08-13,855.0,11667
2021-08-16,856.0,11247
2021-08-17,847.9000244140625,9516
2021-08-18,832.0,11910
2021-08-19,826.5,13327
2021-08-20,846.0,73643
2021-08-23,860.0999755859375,21056
2021-08-24,874.5999755859375,56715
2021-08-25,854.5999755859375,20748
2021-08-26,856.7000122070312,13123
2021-08-27,866.2000122070312,11704
2021-08-31,879.9000244140625,17515
