Ticker
ADEL.IS
AGHOL.IS
AGROT.IS
AKBNK.IS
AKFGY.IS
AKFYE.IS
AKSA.IS
AKSEN.IS
ALARK.IS
ALFAS.IS
ALTNY.IS
ANSGR.IS
AEFES.IS
ARCLK.IS
ARDYZ.IS
ASELS.IS
ASTOR.IS
BTCIM.IS
BERA.IS
BJKAS.IS
BIMAS.IS
BRSAN.IS
BRYAT.IS
CCOLA.IS
CWENE.IS
CANTE.IS
CLEBI.IS
CIMSA.IS
DOHOL.IS
DOAS.IS
EGEEN.IS
ECILC.IS
EKGYO.IS
ENJSA.IS
ENERY.IS
ENKAI.IS
EREGL.IS
EUPWR.IS
FENER.IS
FROTO.IS
GESAN.IS
GOLTS.IS
GUBRF.IS
SAHOL.IS
HEKTS.IS
ISMEN.IS
KLSER.IS
KRDMD.IS
KARSN.IS
KTLEV.IS
KCAER.IS
KCHOL.IS
KONTR.IS
KONYA.IS
KOZAL.IS
KOZAA.IS
LMKDC.IS
MAVI.IS
MIATK.IS
MGROS.IS
MPARK.IS
OBAMS.IS
ODAS.IS
OTKAR.IS
OYAKC.IS
PAPIL.IS
PGSUS.IS
PEKGY.IS
PETKM.IS
REEDR.IS
RGYAS.IS
SASA.IS
SMRTG.IS
SKBNK.IS
SOKM.IS
TABGD.IS
TAVHL.IS
TKFEN.IS
TOASO.IS
TUKAS.IS
TCELL.IS
TMSN.IS
TUPRS.IS
THYAO.IS
TTKOM.IS
TTRAK.IS
GARAN.IS
HALKB.IS
ISCTR.IS
TSKB.IS
TURSG.IS
SISE.IS
VAKBN.IS
ULKER.IS
VESBE.IS
VESTL.IS
YKBNK.IS
YEOTK.IS
ZOREN.IS
BINHO.IS
