Şirket Adı	Tahmin Edilen Fiyat
AEFES	225.96678161621094
ADEL	49.175025939941406
AGHOL	372.3970031738281
AGROT	11.929510116577148
AKBNK	61.38740158081055
AKFGY	2.1785390377044678
AKFYE	19.429698944091797
AKSA	11.48718547821045
AKSEN	36.424259185791016
ALARK	96.16349792480469
ALFAS	63.44593048095703
ANSGR	99.44452667236328
ARCLK	145.8074188232422
ARDYZ	43.22990798950195
ASELS	66.6145248413086
ASTOR	101.61778259277344
BTCIM	138.4941864013672
BERA	15.602960586547852
BJKAS	5.9096550941467285
BIMAS	508.7395324707031
BRSAN	446.9530944824219
BRYAT	2153.405029296875
CCOLA	74.73650360107422
CWENE	22.80345916748047
CANTE	1.7286171913146973
CLEBI	1960.1790771484375
CIMSA	42.721763610839844
DOHOL	15.128003120422363
DOAS	204.40414428710938
EGEEN	10239.0234375
ECILC	49.431209564208984
EKGYO	12.892671585083008
ENJSA	60.73585510253906
ENERY	263.6211853027344
ENKAI	52.146305084228516
EREGL	25.755165100097656
EUPWR	34.49966812133789
FENER	46.75241470336914
FROTO	961.6547241210938
GESAN	51.1302375793457
GOLTS	444.3128356933594
GUBRF	286.10333251953125
SAHOL	96.2340087890625
HEKTS	4.471219539642334
ISMEN	42.25691604614258
KLSER	37.767822265625
KRDMD	28.56467056274414
KARSN	12.858572959899902
KTLEV	56.94485092163086
KCAER	15.171887397766113
KCHOL	190.00323486328125
KONTR	45.8888053894043
KONYA	7087.05078125
KOZAL	23.714630126953125
KOZAA	68.34150695800781
MAVI	87.64698028564453
MIATK	44.21284484863281
MGROS	508.8304443359375
MPARK	366.4914855957031
ODAS	6.671059608459473
OTKAR	491.4808654785156
OYAKC	20.3868350982666
PAPIL	13.118180274963379
PGSUS	224.10968017578125
PEKGY	1.65681791305542
PETKM	18.74576187133789
REEDR	14.976308822631836
RGYAS	123.12886810302734
SASA	4.261348724365234
SMRTG	40.95756149291992
SKBNK	4.897655487060547
SOKM	40.57111358642578
TABGD	153.24237060546875
TAVHL	270.0015869140625
TKFEN	74.18887329101562
TOASO	197.28421020507812
TUKAS	7.351092338562012
TCELL	96.15225982666016
TMSN	115.87815856933594
TUPRS	147.05821228027344
THYAO	292.35260009765625
TTKOM	46.41780090332031
TTRAK	719.3533325195312
GARAN	120.5809097290039
HALKB	17.155166625976562
ISCTR	13.438349723815918
TSKB	12.03308391571045
TURSG	15.09372329711914
SISE	41.8131217956543
VAKBN	22.496013641357422
ULKER	110.76124572753906
VESBE	17.343549728393555
VESTL	67.41963958740234
YKBNK	29.624483108520508
YEOTK	52.338111877441406
ZOREN	4.4869303703308105
BINHO	336.1642761230469
